Chr_ID	Organism_name	Size_kb	Orfs	Chromosome_count	Gc_content	Latitude	Longitude	Temperature	Sequencing_depth	Disease	intergenic_ratio
GbemA01	Geobacter bemidjiensis Bem	4615	4106	1	60.3	47.482959	-94.879704	30	11	0	0.1208957455
GbetA01	Granulibacter bethesdensis CGDNIH1	2708	2553	1	59	38.9867	-77.1007	35	7	1	0.0830230897
HbutA01	Hyperthermus butylicus DSM 5456	1667	1671	1	53.7	37.835276	-25.463562	101	4.4	0	0.1877218964
HmukA01	Halomicrobium mukohataei arg-2, DSM 12286	3332	3475	1	65.5	-22.663	-66.236	45	34.4	0	0.1306705349
HochA01	Haliangium ochraceum SMP-2, DSM 14365	9446	6952	1	69.5	35.259	139.629	32	28.3	0	0.1200622804
HutaA01	Halorhabdus utahensis AX-2, DSM 12940	3116	3076	1	62.9	41.177342	-112.50211	50	29.5	0	0.1195397837
HyspA01	Hydrogenobaculum sp. Y04AAS1	1559	1691	1	34	44.376262	-110.690383	58	8	0	0.048107295
JaspA01	Jannaschia sp. CCS1	4317	4381	1	62	38.3121	-123.0661	30	14	0	0.0927648625
KflaA01	Kribbella flavida IFO 14399, DSM 17836	7579	7149	1	70.6	39.9	116.4	28	20.8	0	0.1029938962
KkorA01	Kangiella koreensis SW-125, DSM 16069	2852	2695	1	43.7	33.245043	126.409526	34	49.6	0	0.1001163014
KsedA01	Kytococcus sedentarius 541, DSM 20547	2785	2703	1	71.63	32.718834	-117.163841	32	17.3	3	0.1118967018
MaeoA01	Methanococcus aeolicus Nankai-3	1569	1595	1	30	33.216667	136.71667	42	12.7	0	0.1576221727
MamaA01	Maricaulis maris MCS10	3368	3184	1	62.7	47.609106	-122.569354	23	13	0	0.1007711991
MaquA01	Marinobacter hydrocarbonoclasticus VT8	4326	4395	1	57.3	10.345	107.084	30	9	0	0.0977491935
MbarA01	Methanosarcina barkeri Fusaro	4837	3843	1	39.3	40.844	14.251	37	12	0	0.3036902059
MburA01	Methanococcoides burtonii DSM6242	2575	2555	1	40.8	-68.479167	-78.183611	23.4	19	0	0.1963967826
MemaD01	Methanococcus maripaludis S2	1661	1779	1	33.1	32.801835	-79.87545	32	12	0	0.110648309
MflaA01	Methylobacillus flagellatus KT	2971	2874	1	55.8	55.755786	37.617633	36	14	0	0.0978739142
MhyoC01	Mycoplasma hyopneumoniae 7448	920	744	1	28.5	-27.051537	-52.082512	37	13	2	0.1290802203
MlabA01	Methanocorpusculum labreanum Z	1804	1889	1	50	34.107811	-118.599658	37	34	0	0.1286387193
MlepA01	Mycobacterium leprae TN	3268	2749	1	57.8	11.127123	78.656894	37	7.1	2	0.5039677768
MpetA01	Methylibium petroleiphilum PM1	4044	4619	1	69.3	34.052187	-118.243425	30	16	0	0.0767277542
MsilA01	Methylocella silvestris BL2	4305	4386	1	63.1	50.814788	8.769239	38	6	0	0.1472542812
MsmiA01	Methanobrevibacter smithii PS	1853	1880	1	31	29.651	-82.325	38	12.6	0	0.0969419802
MtheA01	Methanothermobacter thermoautotrophicus Delta H	1751	1894	1	49.5	40.106649	-88.195627	67	8.6	0	0.0966376742
MvanA01	Mycobacterium vanbaalenii PYR-1	6491	6092	1	67.8	28.304381	-97.03125	30	12	0	0.0848132239
MymaA01	Mycobacterium marinum M. ATCC BAA-535	6636	5550	1	65	37.763385	-122.458081	32	20.3	1	0.0999941689
NproA01	Nautilia profundicola Am-H	1676	1745	1	33.5	12.801944	-103.934444	42	8	0	0.0668283581
ParsA01	Pyrobaculum arsenaticum PZ6	2121	2455	1	58.3	40.829	14.13	95	11	0	0.1322871033
PcalA01	Pyrobaculum calidifontis JCM 11548	2009	2237	1	57.2	14.2359	121.166	92	12	0	0.0925181891
PemaA01	Persephonella marina EX-H1	1930	1981	1	37.2	9.83416	104.284722	73	8	0	0.0538692752
PginA01	Porphyromonas gingivalis W83	2343	1988	1	48.3	50.732705	7.096311	37	8.35	2	0.1741882571
PlavA01	Parvibaculum lavamentivorans DS-1	3914	3752	1	62	49.4855	8.4408	30	17.5	0	0.0983359069
PnapA01	Polaromonas naphthalenivorans CJ2	4410	5046	1	62.5	43.3007	-73.6349	20	11	0	0.0978758545
PstaA01	Pirellula staleyi DSM 6068	6196	4825	1	57.4	42.759	-84.399	22	37	0	0.1423740587
PyaeA01	Pyrobaculum aerophilum IM2	2222	2659	1	51.4	40.735	13.948	89	4	0	0.1111823544
RferA01	Rhodoferax ferrireducens T118	4712	4606	1	59.9	37.8481	-75.5094	25	9	0	0.1048413774
RlegB01	Rhizobium leguminosarum WSM2304	4537	6705	1	61	-32.533333	-57	28	27.7	0	0.1305167005
RlegC01	Rhizobium leguminosarum bv trifolii WSM1325	4767	4565	1	61	37.147034	24.518901	28	36	0	0.1352609993
RmarA01	Rhodothermus marinus R-10, DSM 4252	3386	2962	1	64.3	63.88	-22.5	65	34.6	0	0.0825909583
SaciA01	Sulfolobus acidocaldarius DSM 639	2225	2344	1	36.7	44.6633	-110.4927	72	5.8	0	0.1450835348
SaveA01	Streptomyces avermitilis MA-4680	9025	7785	1	70.7	34.97712	138.383085	30	13.3	0	0.1371208455
SdegA01	Saccharophagus degradans 2-40	5057	4114	1	45	37.584154	-76.178374	20	16	0	0.1329973064
SdenA01	Shewanella denitrificans OS217	4545	4023	1	45.1	57.3798	20.0115	22	15	0	0.1550410413
SentF01	Salmonella enterica sv Paratyphi B SPB7	4800	5857	1	52	5.2689	100.4849	37	8	3	-0.8961447344
SequB01	Streptococcus equi equi 4047	2253	2243	1	41	50.875875	-1.632772	37	8	1	0.1894104738
SequC01	Streptococcus equi zooepidemicus H70	2149	2058	1	41	52.245212	0.403362	37	8	1	0.1729827134
SfleA01	Shigella flexneri 301	4607	4873	1	50.9	39.908173	116.397947	37	10	3	0.1980318645
ShspC01	Shewanella sp. ANA-3	4972	4649	1	48	41.525871	-70.670327	37	11	0	0.1419935707
SmarA01	Staphylothermus marinus F1, DSM 3639	1570	1661	1	35	38.3913	14.968	92	13.3	0	0.1281846054
SmedA01	Ensifer medicae WSM419	3781	6644	1	62	40.888925	9.101915	28	12	0	0.1284154754
SpeaA01	Shewanella pealeana ANG-SQ1, ATCC 700345	5174	4599	1	44	41.526411	-70.680585	27	10	0	0.1653631473
SpieA01	Shewanella piezotolerans WP3	5396	4933	1	43	8.003056	-142.502222	17	6.52	0	0.1520104972
SpthA01	Sphaerobacter thermophilus 4ac11, DSM 20745	3993	3585	2	68	48.139	11.58	55	35.9	0	0.1416733688
SrosA01	Streptosporangium roseum NI 9100, DSM 43021	10396	9501	1	70.8	35.91	-79.055	28	72.6	0	0.1420861991
SrubA01	Salinibacter ruber M31	3551	2938	1	66.2	39.776	3.0203	42	4	0	0.151035961
SusiA01	Solibacter usitatus Ellin6076	9965	8056	1	61.9	-36.5588	145.415039	30	10	0	0.095373403
SyacA01	Syntrophus aciditrophicus SB	3179	3221	1	51.5	35.191213	-97.441347	35	11.4	0	0.1091171012
SythA01	Symbiobacterium thermophilum IAM 14863	3566	3529	1	68.7	34.385203	132.455293	60	8.2	0	0.1279575787
TcurA01	Thermomonospora curvata DSM 43183	5639	5061	1	71.6	52.51	13.4	65	36.3	0	0.1628470286
TeloA01	Thermosynechococcus elongatus BP-1	2593	2557	1	53.9	33.318279	131.45264	55	5.2	0	0.1010506747
ThacA01	Thermanaerovibrio acidaminovorans Su883, DSM 6589	1848	1825	1	63.8	51.589	4.774	55	19.6	0	0.0764944489
TkodA01	Thermococcus kodakarensis KOD1	2088	2411	1	52	31.596554	130.557116	85	7.8	0	-0.9196897455
TmelA01	Thermosipho melanesiensis BI429	1915	2002	1	31	-22.058056	-176.0775	70	10	0	0.0850385174
TpetA01	Thermotoga petrophila RKU-1	1823	1911	1	46	37.916192	139.036413	80	11	0	0.0527246614
TrosA01	Thermomicrobium roseum DSM 5159	2006	1925	1	63.6	44.376262	-110.690383	70	9.7	0	0.0966682077
TspxA01	Thermoanaerobacter ethanolicus X514	2457	2529	1	34	39.348317	-107.859192	60	11	0	0.131890045
TvolA01	Thermoplasma volcanium GSS1	1584	1660	1	39.9	38.4879	14.9456	50	13	0	0.1389332687
VparA01	Vibrio parahaemolyticus RIMD 2210633	5165	5052	2	45.3	34.693738	135.502165	25	8.9	1	0.1304984542
XcamB01	Xanthomonas campestris campestris 8004	5148	4351	1	65	50.928014	-0.461707	27	10	2	0.1511598638
XcelA01	Xylanimonas cellulosilytica XIL07, DSM 15894	3742	3443	1	72.4	40.964972	-5.663047	28	36.1	0	0.0903444395
XfasA01	Xylella fastidiosa CVC 8.1.b clone 9.a.5.c	2679	2901	1	52.7	-22.245953	-43.703135	27	18.74	2	0.1647844628
